date,name,open,high,low,close,volume,marketCap,daily_weighted_sentiment,comment_volume,BTC_trends,gold_spot,gspc_spot,ndx_spot,price_change,target,percent_change_24h,percent_change_3d,percent_change_7d,percent_change_14d,ma_7d,price_vs_ma7d,ma_14d,price_vs_ma14d,close_7_ema,close_14_ema,dx,adx,adxr,rsi_7,rsi,stochrsi,atr,mfi,boll,boll_ub,boll_lb,boll_width,kdjk,kdjd,kdj_signal,macd,macds,macdh
2024-07-30,2781,66819.0526575841,66987.6723080417,65323.1919785809,66201.0162264011,31380492109.35,1306384437839.03,-0.0452737522661016,36.0,34.0,2405.0,5436.439941,18796.26953,-618.8999599624949,-1.0,-0.9262207965606506,-2.377590019614806,0.4146117331423005,1.6957262327106593,66878.79398114719,-1.0134419513263782,66556.11869269158,-0.5335384233117475,66905.0056410207,66786.53889251612,25.38721128813447,31.86741654442089,35.31356412178936,45.434526315499106,50.37551946554859,61.639739462005316,2314.619266080649,0.5072086357230075,66458.85390190178,69262.3478904028,63655.35991340075,5606.987977002049,58.34918937692544,65.63334150153521,0.0,157.10107771717594,171.382629080208,-14.281551363032065
2024-07-31,2781,66201.2710774696,66810.2126924941,64532.0462977066,64619.2496492185,31292785993.69,1275323104043.98,-0.0747366091784308,13.0,34.0,2426.5,5522.299805,19362.42969,-1581.7665771825996,1.0,-2.389338815847042,-5.327917357474298,-1.1516888729390384,0.7805152888220812,66771.23918336788,-3.2229288545021104,66591.86561981965,-2.9622476442739063,66327.78135741409,66464.99254480656,14.999679432404351,27.016883599856246,32.92774781845753,34.0626041701622,41.80210067317215,51.14926102590391,2310.869999264603,0.43649433653997993,66343.87863610908,69204.23571037094,63483.521561847214,5720.7141485237225,44.762545458444585,58.67640948717167,0.0,7.219335140674957,137.59904699421566,-130.3797118535407
2024-08-01,2781,64625.8404447144,65593.244771184,62248.9399911026,65357.5015625505,40975554493.51,1289712080281.71,0.0008497148986876,36.0,34.0,2435.0,5446.680176,18890.39063,738.2519133319947,-1.0,1.142464385364339,-2.188590928091505,-0.6380968249016239,2.1624932572653854,66711.27884372935,-2.0293079440885333,66690.68239685126,-1.9990511213658086,66083.37421319309,66303.11447855328,8.546213819988017,21.715206905587838,29.709387707548963,41.97121694986028,46.38818349368611,11.48714260307134,2413.922966643763,0.42360123313059916,66285.85645531151,69096.41101373032,63475.301896892706,5621.109116837615,43.23154647533418,53.528121816559164,0.0,-61.48959000733157,96.86404898462149,-158.35363899195306
2024-08-02,2781,65353.4984738177,65523.2235707569,61184.8931977399,61415.0645726852,43060875727.45,1212008164272.18,-0.0756594691165657,9.0,34.0,2425.699951,5346.560059,18440.84961,-3942.436989865295,-1.0,-6.032110921639466,-7.2294232423085525,-9.566781257005308,-7.937456890764672,65783.1361975101,-6.6401085100443,66312.46170111121,-7.385334525054955,64909.67985450982,65597.69811218783,17.068521794834304,20.38321415951482,27.03599899742287,24.021073992985706,31.921643071441224,0.0,2600.543188474562,0.340014828930029,66015.25690627671,69579.90183308293,62450.6119794705,7129.289853612427,29.692629880194183,45.582957837770834,0.0,-361.9247695616941,3.423000999816474,-365.3477705615106
2024-08-03,2781,61414.8084938627,62148.3717618854,59836.5273716364,60680.0946987796,31753030589.34,1197456370706.16,-0.3751998669624328,16.0,34.0,2425.699951,5346.560059,18440.84961,-734.9698739056039,-1.0,-1.1967257203413961,-6.0959465976815785,-10.518940342633865,-9.653362667105947,64764.10123785985,-6.305972693237691,65849.35097075884,-7.850124861936313,63847.79361046406,64895.725212192614,26.425097250601993,22.113519859429246,25.62627398590372,21.976828987585293,30.040776723276437,0.0,2573.243911043528,0.29187176378697677,65734.45889535581,69976.29550033071,61492.62229038092,8483.673209949797,22.565145675274294,37.91035378360532,0.0,-635.557331440672,-126.24173121527961,-509.31560022539236
2024-08-04,2781,60676.0941770946,61062.9895543501,57210.8033286504,58116.9769610403,31758917219.16,1146844860380.54,-0.20434057861786,38.0,52.0,2425.699951,5346.560059,18440.84961,-2563.117737739296,-1.0,-4.223984406192505,-11.078337495169766,-14.854238084519277,-14.72762997503395,63315.68855100555,-8.210779522325334,65132.383403271284,-10.770996047840976,62410.53158561554,63937.10365685534,40.50249284413478,27.376318249744152,26.127124693682752,16.324511708821802,24.597633859105443,0.0,2691.446183511654,0.23361514946811157,65353.58479864003,70706.28268197078,60000.88691530928,10705.395766661502,17.407553880389827,31.076087149200156,0.0,-1005.8646083975982,-304.21823604912026,-701.6463723484779
2024-08-05,2781,58110.2984557763,58268.8274088694,49121.2373775943,53991.4577965042,108991085584.42,1065580794793.2,-0.0686340145036286,7.0,52.0,2401.699951,5186.330078,17895.16016,-4125.519164536105,1.0,-7.098647211643017,-12.087599073343169,-19.198555044696974,-20.11354871247779,61483.051638168494,-12.184811329393314,64161.39824787226,-15.850559260069307,60300.74520351506,62541.909497051725,63.60617311293816,37.740092098996456,29.449085776935053,11.008000067697793,18.718592640201763,0.0,3275.8663121498466,0.12897021245553264,64798.30034692304,72181.9149606397,57414.68573320638,14767.229227433316,19.385075651764975,27.17908331672176,0.0,-1552.8597568589394,-556.2713195734655,-996.5884372854739
2024-08-06,2781,53991.3475883934,57059.9186167572,53973.2722755542,56034.3165914605,49300484106.29,1106050307069.4,-0.0688672696842866,6.0,52.0,2389.100098,5240.029785,18077.91992,2042.8587949563007,-1.0,3.78367037736953,-7.656181372789672,-15.357316570747903,-15.006378074003724,60030.66597603411,-6.657179825672878,63454.72997859064,-11.694027205905314,59232.2320295259,61635.31152150614,63.606173112938166,45.13671554435071,33.93509546959631,25.100062378357975,27.907196151609398,19.493572607272586,3259.0587343322245,0.20696091109383286,64394.076543024785,72754.85119283038,56033.301893219184,16721.549299611193,23.966832795753945,26.10833314306582,0.0,-1820.8189664403835,-811.0608639539869,-1009.7581024863966
2024-08-07,2781,56040.6321232278,57726.8810517744,54620.5095211427,55027.4606917867,41637562184.67,1086125591738.96,0.0075918079158406,15.0,52.0,2390.5,5199.5,17867.36914,-1006.8558996737993,1.0,-1.7968558571253124,-5.31603058315423,-14.843547409634471,-15.82428479870731,58660.41041068671,-6.1931883760536435,62715.82479702729,-12.259049657918268,58179.630967458535,60720.21897402607,57.748915846635526,48.74240007013862,38.168335331568,23.005333228017022,26.327472504622932,16.142197441968644,3245.7281147511676,0.2701433889705731,63946.74624340871,73300.51972143898,54592.972765378436,18707.54695606054,26.997104800536082,26.40459036222257,1.0,-2075.4516574617955,-1065.4406156723428,-1010.0110417894527
2024-08-08,2781,55030.0290256907,62673.7639765565,54766.7284231449,61710.1375644501,45298472566.63,1218352191431.14,-0.0287207056427262,28.0,52.0,2422.199951,5319.310059,18413.82031,6682.676872663404,-1.0,12.144258137030196,14.296112909264092,-5.58063559790406,-6.1831225642461245,58139.358410958084,6.141758786280309,62425.318627343724,-1.145658650399513,59063.14412610341,60856.60578931045,22.66988958580788,41.289865280534585,39.06058966800582,53.22952892040199,47.54934346161874,61.164281793390664,3646.3307675517817,0.3451777552480384,63696.745405978916,73006.70733332582,54386.783478632016,18619.9238546938,41.72075582018175,31.509978848208963,0.0,-1789.3088831873902,-1210.901187303402,-578.4076958839883
