date,name,open,high,low,close,volume,marketCap,daily_weighted_sentiment,comment_volume,ETH_trends,gold_spot,gspc_spot,ndx_spot,price_change,target,percent_change_24h,percent_change_3d,percent_change_7d,percent_change_14d,ma_7d,price_vs_ma7d,ma_14d,price_vs_ma14d,close_7_ema,close_14_ema,dx,adx,adxr,rsi_7,rsi,stochrsi,atr,mfi,boll,boll_ub,boll_lb,boll_width,kdjk,kdjd,kdj_signal,macd,macds,macdh
2024-07-30,2781,3320.6351906134,3365.322564389,3235.7599682135,3278.6677928161,14045773046.54,394254431325.22,0.2175070919016356,18.0,53.0,2405.0,5436.439941,18796.26953,-41.87141711750019,-1.0,-1.2609824630963273,0.956390403769869,-5.839414055848757,-4.787137000788277,3272.1425406331286,0.19941833529380934,3371.718587098672,-2.7597437887792786,3302.736087359212,3331.5635593665806,23.381513052452572,39.71119327368346,48.49531734600666,40.681703960394884,40.324515283634085,53.1046779930783,137.13752689216622,0.4007141944672876,3376.50491474458,3601.996435532753,3151.0133939564075,450.9830415763454,40.975930392034314,41.277933383809966,0.0,-25.82830749869663,-18.468468558293445,-7.359838940403186
2024-07-31,2781,3278.6865959865,3347.636589634,3216.0717065546,3231.2957066884,16135380636.88,388556036409.16,0.9354939460754396,1.0,53.0,2426.5,5522.299805,19362.42969,-47.37208612769973,-1.0,-1.4448577630065795,-1.2278576798504637,-3.148472133987612,-4.64644946229652,3257.136295340028,-0.7933530042509426,3360.471682354471,-3.8439834605469834,3284.6951754240845,3316.68748229424,26.762520841486605,35.9876373631516,44.89857443888073,35.56359940911051,37.04399367943264,24.36564393023666,136.56436686982315,0.40314858489962047,3367.4293392410686,3597.0553237106283,3137.803354771509,459.25196893911925,37.857184412806745,40.13768372680889,0.0,-28.831815606474265,-20.60116812398808,-8.230647482486184
2024-08-01,2781,3231.2486664288,3241.7773266787,3078.5438775352,3201.5644469308,20217639555.82,384996532526.49,-0.0027353131323544,78.0,53.0,2435.0,5446.680176,18890.39063,-29.731259757600128,-1.0,-0.9201033410857429,-3.5829952751914362,0.8548670002888947,-6.558003074473739,3261.0130284210572,-1.8230096283620674,3344.4221006606213,-4.271519844986156,3263.7550877755407,3299.860352643144,45.015090442588615,38.578806940121545,43.08459776880431,32.56386025845329,35.113268382317244,20.610717817018877,139.22377810369812,0.3310874995105827,3357.6725808698766,3594.116658091699,3121.2285036480544,472.88815444364445,35.26157353742197,38.51231366367991,0.0,-32.60451441833584,-23.057140974939518,-9.54737344339632
2024-08-02,2781,3201.5993832297,3214.5270618206,2965.7339587821,2986.0131528012,21400241740.62,359070017357.43,0.0,2.0,53.0,2425.699951,5346.560059,18440.84961,-215.55129412960014,-1.0,-6.732686400745102,-8.926022961403302,-8.850505823186994,-14.824900106341465,3219.593275338257,-7.2549574608152,3307.299122934429,-9.714451526481989,3193.9259274686647,3254.567658098292,54.936192013781636,43.26772339207045,43.13709153500467,19.004880038757292,24.957284184419137,0.8590885577501335,149.84930971278703,0.25159304812697425,3337.024834866061,3625.664650151791,3048.385019580331,577.2796305714601,25.076492678522346,34.03370666862739,0.0,-48.68401115867664,-28.276539333701415,-20.407471824975225
2024-08-03,2781,2985.9508786552,3015.2960515087,2861.1775540643,2903.3857025544,17844091430.83,349111435213.51,-0.253531987738654,41.0,53.0,2425.699951,5346.560059,18440.84961,-82.62745024679998,-1.0,-2.7671495743173957,-10.147941689622076,-10.599255855670497,-17.500936446414507,3170.418664027914,-8.42264034410703,3263.305577110871,-11.029303448655952,3120.9824455859466,3204.437504233712,61.81344364019954,48.578942588233666,44.695556959365135,16.021463830714183,22.295206856499888,0.0,150.25300290793302,0.20147796161976272,3314.2017226391313,3658.109303927425,2970.2941413508374,687.8151625765877,19.34525168174038,29.137555006331716,0.0,-65.74955571555256,-35.88073055487202,-29.868825160680544
2024-08-04,2781,2903.0886317454,2931.4717513415,2639.5667259006,2686.3988610452,21139601426.46,323015051181.3,-0.2967466966066406,44.0,72.0,2425.699951,5346.560059,18440.84961,-216.98684150919962,-1.0,-7.473579597719127,-16.091057807050124,-17.883909515734242,-24.04018749478507,3086.8378389671,-12.972465636740171,3202.5765357784,-16.1175749889687,3011.9909142052024,3131.178697229961,71.67898396019542,55.19001655357588,47.6989995717162,10.818331803836728,17.12829359262919,0.0,163.34475127783836,0.1990738191427487,3282.811579559435,3719.703839306628,2845.9193198122416,873.7845194943866,14.958854866640033,24.411321626434486,0.0,-92.25350700535137,-47.28678874264266,-44.9667182627087
2024-08-05,2781,2686.0274982721,2695.8866563884,2122.546236037,2417.2061842115,67668132244.38,290699928288.88,-0.0252646948840167,20.0,72.0,2401.699951,5186.330078,17895.16016,-269.19267683370026,1.0,-10.02057738845844,-19.049044310340634,-27.2044077365424,-29.740954309015923,2957.7902638639425,-18.27661975417569,3129.4898423314357,-22.760376099808404,2862.940228220601,3031.021272120467,82.82638404418205,63.09557024041779,52.10328374748746,7.359184935303233,13.078790218754833,0.0,200.4581934983178,0.17769226994215415,3231.4962136806453,3807.770596175749,2655.2218311855418,1152.548764990207,17.68166351571869,22.168102256195887,0.0,-129.43507761752244,-63.869394055761845,-65.5656835617606
2024-08-06,2781,2417.2697476943,2553.5810788175,2416.5270085411,2458.7238702336,26041995920.95,295710571803.94,0.0934500400478958,31.0,72.0,2389.100098,5240.029785,18077.91992,41.51768602209995,-1.0,1.7175897651297456,-15.315286285579843,-25.008447771960363,-29.387515013463673,2840.655417780728,-13.445191034311138,3056.3989792069287,-19.554878569172047,2761.705555635036,2951.292304207485,82.82638404418205,68.73776241859045,56.86005284882941,12.3992178965525,16.363071350100398,10.801290459907387,194.82628408792138,0.25396118667325684,3184.9947885369647,3850.9547561866284,2519.034820887301,1331.9199352993273,20.583083169252937,21.639762560548235,0.0,-153.89432743066482,-82.00822165495019,-71.88610577571463
2024-08-07,2781,2458.9889062336,2551.5606857856,2312.1686925901,2336.5893752638,24264218606.01,281035367280.92,0.1279704056002877,48.0,72.0,2390.5,5199.5,17867.36914,-122.13449496980002,1.0,-4.967393713804724,-13.02150216238923,-27.68877913502822,-29.96547777370808,2712.840227577214,-13.869259549038638,2984.9882614586213,-21.721991157110274,2655.2841341074195,2866.1647667242546,84.27527741358529,73.17976112174308,61.52567170792393,10.448339212598356,14.613762504606626,5.048191931304169,198.71717016137643,0.2528057917627371,3130.51132776792,3885.6832909027044,2375.339364633136,1510.3439262695683,19.46304933605157,20.91419148571601,0.0,-179.3367606283623,-101.58951701576144,-77.74724361260085
2024-08-08,2781,2336.9149691098,2721.9544984356,2322.5294984722,2683.3527980054,23468291179.77,322747478331.43,0.0978821977299062,48.0,72.0,2422.199951,5319.310059,18413.82031,346.76342274160015,-1.0,14.840580309599783,11.010505249088553,-16.186200762636116,-15.469704251267514,2638.8099920164427,1.6879883782355993,2949.91151021875,-9.036159603092079,2662.308348116984,2840.9777034135714,60.46967896309877,69.54672664572094,63.81840032756271,41.129668996433146,35.648604744673705,74.22723956058202,215.96642696638375,0.32767281839184326,3089.392225619795,3848.088441186848,2330.6960100527426,1517.3924311341052,28.234283258787784,23.354222076739934,1.0,-173.14167315729628,-115.96784799235188,-57.173825164944404
