date,daily_weighted_sentiment,comment_volume
2024-07-15,0.00853054382299122,30
2024-07-16,0.030912593007087708,17
2024-07-18,0.08910479493763136,45
2024-07-19,0.01656864709773306,33
2024-07-20,0.0,32
2024-07-21,0.0,3
2024-07-22,0.17076426923723148,43
2024-07-23,0.4445701241493225,61
2024-07-24,-0.27659304712649274,33
2024-07-25,-0.3018103022101923,53
2024-07-26,-0.21114528782760042,18
2024-07-27,-0.043187737244961444,49
2024-07-28,0.011130964916771378,68
2024-07-29,0.0502022731871832,32
2024-07-30,0.2175070919016356,18
2024-07-31,0.9354939460754395,1
2024-08-01,-0.002735313132354424,78
2024-08-02,0.0,2
2024-08-03,-0.25353198773865404,41
2024-08-04,-0.29674669660664066,44
2024-08-05,-0.025264694884016708,20
2024-08-06,0.09345004004789582,31
2024-08-07,0.1279704056002877,48
2024-08-08,0.09788219772990625,48
2024-08-09,0.0,16
2024-08-10,0.034925683548575955,48
2024-08-11,0.13668796052516524,50
2024-08-12,-0.07930212893656322,16
2024-08-13,-0.05997849766873131,32
2024-08-14,-0.1608698756195778,15
2024-08-15,-0.07991395718172976,17
2024-08-16,-0.4933338303690992,18
2024-08-17,-0.09215908355311668,50
2024-08-18,-0.6200707292468948,29
2024-08-19,-0.03977111520919394,18
2024-08-22,0.45362975718868764,16
2024-08-23,-0.15167718896499047,16
2024-08-24,-0.02994782105088234,20
2024-08-25,0.4186335126910589,18
2024-08-26,-0.09841066037399182,31
2024-08-28,0.0,15
2024-08-29,0.0,16
2024-08-30,0.0,13
2024-08-31,0.0,2
2024-09-01,0.0,3
2024-09-02,-0.07867734918252824,31
2024-09-03,-0.08242725242267955,18
2024-09-04,0.2840609118577858,47
2024-09-05,-0.39846529324849445,16
2024-09-07,-0.07749748584067467,15
2024-09-08,-0.05451658395452237,17
2024-09-09,0.0,6
2024-09-10,0.009076051712036133,26
2024-09-11,0.2832933897557466,20
2024-09-12,0.24230026217067943,29
2024-09-13,0.0,4
2024-09-14,0.0,2
2024-09-15,-0.034611711045727134,28
2024-09-16,-0.17398061451402683,16
2024-09-17,-0.25269561800463447,6
2024-09-18,-0.031520951778516854,29
2024-09-19,0.29547616313485536,20
2024-09-20,0.0009558306691425094,49
2024-09-21,-0.004085420108423001,27
2024-09-22,-0.3264163136482239,2
2024-09-23,0.004619721918199806,63
2024-09-24,-0.014056926167856051,90
2024-09-25,0.6231938530417049,3
2024-09-26,0.017520511927811996,20
2024-09-29,0.4932064952648214,30
2024-09-30,-0.4159494080442063,17
2024-10-01,0.0,16
2024-10-07,0.0,10
2024-10-08,-0.019053834107901544,38
2024-10-11,0.4264419398137501,16
2024-10-12,-0.38414621237785584,15
2024-10-14,-0.055009338222243416,30
2024-10-15,0.2681557536125183,21
2024-10-16,-0.028736756897439427,16
2024-10-19,-0.31338940809170407,16
2024-10-20,0.46841262379485765,25
2024-10-21,0.0,4
2024-10-22,0.0,1
2024-10-23,0.0,1
2024-10-25,-0.21817995406485893,17
2024-10-26,0.032924183862620936,16
2024-10-27,0.28439078492865877,14
2024-10-28,0.0,18
2024-10-30,0.00963330331290307,16
2024-11-04,0.0029845487686895556,12
2024-11-05,0.0,2
2024-11-07,0.340836945226637,15
2024-11-10,0.029130411696441007,58
2024-11-11,0.3442866174889723,36
2024-11-12,0.0,2
2024-11-13,-0.4676908458779585,12
2024-11-14,-0.3268048489674988,18
2024-11-15,-0.04028935017793075,13
2024-11-16,0.30483944796437595,17
2024-11-17,-0.09087200467068335,29
2024-11-18,0.007027873321951435,20
2024-11-19,0.0,1
2024-11-21,-0.5103204804133639,15
2024-11-22,-0.0033672722046422265,58
2024-11-23,0.5118116948165392,6
2024-11-24,0.007574322419765192,23
2024-11-25,0.04997861897937405,80
2024-11-26,0.0010294054493759617,20
2024-11-27,-0.19786149136563566,43
2024-11-28,0.007010168415356633,37
2024-11-29,0.029777028058704576,38
2024-11-30,-0.01043896737441518,23
2024-12-01,0.4688474198358249,40
2024-12-02,-0.08356124649242479,47
2024-12-03,0.0,17
2024-12-04,0.16600698113301054,32
2024-12-05,0.03886303800413507,20
2024-12-06,0.4133649905131387,35
2024-12-07,0.005384774687134217,52
2024-12-08,0.0543667213437525,59
2024-12-09,-0.18526387214660645,4
2024-12-10,0.0,31
2024-12-11,-0.002021631821483171,32
2024-12-12,-0.3185322713412065,17
2024-12-14,0.5487897490903296,51
2024-12-15,-0.03239778169025447,52
2024-12-16,0.5253841375049791,14
2024-12-17,-0.05026011147861162,66
2024-12-18,0.04793570484590093,31
2024-12-19,-0.46221074413080687,19
2024-12-20,-0.04090063367374698,90
2024-12-21,-0.3639652854195834,66
2024-12-22,-0.013006878413742394,16
2024-12-23,-0.1261471254484994,42
2024-12-24,0.5254945158958435,1
2024-12-25,-0.022627538114082156,21
2024-12-26,0.28665723267135085,31
2024-12-27,0.0,18
2024-12-28,0.61139958831809,26
2024-12-29,-0.3193989396095276,2
2024-12-31,0.22185740816977717,21
2025-01-01,0.059089851093005845,24
2025-01-02,0.0032519560409244898,65
2025-01-03,-0.01584607875393046,50
2025-01-04,0.005020894761224395,97
2025-01-05,0.06254386365442198,55
2025-01-06,0.01988271920077772,16
2025-01-07,-0.03417326099630715,68
2025-01-08,0.04491958260536194,21
2025-01-09,0.09566637673101888,17
2025-01-10,-0.31102778711810736,34
2025-01-11,-0.0024639309621324727,31
2025-01-12,-0.004946106197034006,44
2025-01-13,-0.04502898559058453,80
2025-01-14,-0.6190305345872154,55
2025-01-15,0.27699828877307403,35
2025-01-16,0.023776344931805072,30
